titulo,subtitulo,primer_parrafo,seccion
Suspenderán las licencias de conducir de quienes dejen manejar a sus hijos menores,Drástica medida de la ASNV," advirtió que suspenderá las licencias de los adultos que dejen que sus hijos menores manejen un vehículo en la vía pública. En función de esa decisión, en estos días pidió la suspensión de los registros de dos conductores de Córdoba Capital y en Rio Grande, Tierra del Fuego.",Sociedad
"Inspirados en Lali Espósito y su amor por el fernet, dos empresas lanzaron el “viajero” para tomar el aperitivo",Ingenio para una bebida muy elegida en la Argentina,"Lali Espósito sorprendió a toda España el año pasado al preparar un fernet “viajero” en pleno vivo del famoso programa “El Hormiguero”. La estrella pop argentina reveló al conductor Pablo Motos y a toda su audiencia cómo preparar la bebida con una botella cortada, una gaseosa cola, un fernet, un cuchillo y un encendedor.",Sociedad
Qué le pasó a Lucio Dupuy: cómo fue el crimen del niño de 5 años en La Pampa,La madre y su pareja fueron declaradas culpables,"Lucio Dupuy tenía 5 años cuando falleció en el Hospital Evita de la ciudad de Santa Rosa, La Pampa, el 26 de noviembre de 2021 tras recibir una fuerte golpiza. Vivía en un departamento con su madre, Magdalena Espósito Valenti, de 24 años, y su pareja, Abigail Páez, de 27, ambas actualmente detenidas e halladas culpables de su muerte.",Sociedad
Nuevo billete de $2.000: ¿quiénes fueron Cecilia Grierson y Ramón Carrillo?,También aparecerá el Instituto Malbrán en el reverso,"El Banco Central de la República Argentina (BCRA) aprobó este jueves la emisión de un nuevo billete de $2.000, que llevará imágenes de la Dra. Cecilia Grierson, del Dr. Ramón Carrillo y también del Instituto Malbrán. Según precisaron desde el BCRA en un comunicado, la elección, tanto de estos personajes históricos como del organismo público, tuvo como fin “conmemorar el desarrollo de la ciencia y de la medicina en la Argentina”.",Sociedad
Efemérides de hoy: qué pasó un 3 de febrero,Hechos que ocurrieron en la Argentina y el mundo,En las efemérides del 3 de febrero sobresalen estos hechos que ocurrieron un día como hoy en la Argentina y el mundo:,Sociedad
"Un equipo científico local explora los vínculos entre agroquímicos, arsénico en agua y cáncer",De la iniciativa participan investigadores de seis universidades,"Un equipo de investigadores e investigadoras de seis universidades nacionales camina tras las huellas de la relación entre aguas con arsénico, agroquímicos y cáncer. Según los análisis realizados por estos científicos, la mortalidad por cáncer en las provincias de Córdoba, Entre Ríos y Santa Fe se halla por encima de la media nacional, y ello coincide con la geografía de tierras sembradas (que emplean tóxicos) y, a su vez, con la concentración de este elemento químico en el agua. Al momento, si bien esta evidencia no es suficiente para establecer una causalidad, es posible “señalar una correlación positiva” entre estos tres factores. ",Sociedad
"Pidió ibuprofeno para su hijo, le dieron Viagra y el nene terminó internado",El niño fue dado de alta,"Un hombre de 33 años denunció a una farmacia de Ramos Mejía por una negligencia que afectó la salud de su hijo. Según contó el padre a las autoridades policiales, este lunes fue a un comercio a comprar ibuprofeno para su niño de 7 años, que estaba con fiebre, y en vez de darle el antiinflamatorio le vendieron Viagra. El pequeño, tras consumir la pastilla, vomitó y terminó internado en observación.",Sociedad
Investigan a policías que mataron en California a un hombre negro que huía en silla de ruedas ,Violencia policial en Estados Unidos,"Varios policías están siendo investigados en Estados Unidos tras disparar mortalmente a un hombre afroamericano que tenía la mitad de las dos piernas amputadas y que, presuntamente, había atacado a otra persona con un cuchillo. ",Sociedad
La Casa Blanca llama al Congreso a aprobar una reforma policial,Un proyecto para poner coto a los abusos de la policía norteamericana,"La portavoz de la Casa Blanca, Karine Jean-Pierre, pidió este jueves al Congreso estadounidense que trabaje para aprobar leyes que permitan una reforma policial en el país, que prevenga posibles casos de violencia policial. ",Sociedad
Culpas y responsabilidades en la vida y la muerte de Lucio Dupuy,,"“Culpables” dijo la sentencia contra la madre de Lucio Dupuy y su pareja. Culpables de abusar de él (no la madre), torturarlo y asesinarlo. ",Sociedad
